단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
001740,KR7001740000,SK네트웍스,ST,2.0,0,16,0,N,N,N,9,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,4155,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,2552687,2500,19770630,248187,620469117500,12.0,,0,,N,Y,Y,71209,1212,839,635,3.38,20220930.0,10312,535,N,N,Y
001745,KR7001741008,SK네트웍스우,ST,0.0,0,16,0,N,Y,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,49800,1,1,N,N,Y,0,N,N,N,0,0,0,100,N,90,1730,2500,19891221,113,284120000,12.0,,1,,N,N,N,0,0,0,0,0.0,,56,,N,N,N
001750,KR7001750009,한양증권,ST,3.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,8770,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,4145,5000,19880304,12728,63642670000,12.0,,0,,N,N,Y,8742,1162,1142,794,20.28,20211231.0,1116,,N,N,N
001755,KR7001751007,한양증권우,ST,0.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,13040,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,6,5000,19891024,525,2625000000,12.0,,1,,N,N,N,0,0,0,0,0.0,,68,,N,N,N
001770,KR7001770007,SHD,ST,3.0,0,11,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,33100,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,3652,5000,19881123,1214,6074390000,12.0,,0,,N,N,Y,1048,57,71,58,15.4,20211231.0,402,,N,N,N
001780,KR7001780006,알루코,ST,3.0,0,11,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,2920,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,671916,500,20070607,89969,44984716000,12.0,,0,,N,N,Y,4706,312,200,159,9.48,20220930.0,2627,,N,N,N
001790,KR7001790005,대한제당,ST,3.0,0,5,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,2565,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,143339,500,19681227,89696,44848290000,12.0,,0,,N,N,Y,10264,318,310,213,5.45,20220930.0,2300,,N,N,N
001795,KR7001791003,대한제당우,ST,0.0,0,5,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,2305,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,11837,500,19950121,6482,3241380000,12.0,,1,,N,N,N,0,0,0,0,0.0,,149,,N,N,N
001800,KR7001800002,오리온홀딩스,ST,2.0,0,21,0,N,N,N,7,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,15320,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,48163,500,19750627,62645,31322711000,12.0,,0,,N,Y,Y,29346,3998,4212,3236,4.83,20221231.0,9597,,N,N,N
001820,KR7001820000,삼화콘덴서,ST,3.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,47300,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,75456,1000,19760626,10395,10395000000,12.0,,0,,N,N,Y,1958,259,320,249,15.58,20220930.0,4916,,N,N,N
001880,KR7001880004,DL건설,ST,3.0,0,18,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,13900,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,9222,5000,19771222,22053,110266420000,12.0,,0,,N,N,Y,19624,811,843,554,5.67,20221231.0,3065,321,N,N,N
001940,KR7001940006,KISCO홀딩스,ST,3.0,0,11,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,20000,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,59051,1000,19891113,16176,18476380000,12.0,,0,,N,N,Y,14238,1549,1224,841,7.37,20220930.0,3235,,N,N,N
002020,KR7002020006,코오롱,ST,3.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,20350,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,28243,5000,19750623,12626,63132130000,12.0,,0,,N,N,Y,40898,2584,2460,1778,22.64,20220930.0,2569,KOL,N,N,N
002025,KR7002021004,코오롱우,ST,0.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,15180,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,6594,5000,19890822,1076,5381950000,12.0,,1,,N,N,N,0,0,0,0,0.0,,163,,N,N,N
002030,KR7002030005,아세아,ST,3.0,0,26,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,148000,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,1809,5000,19740603,2191,10955120000,12.0,,0,,N,N,Y,20723,2326,2104,1635,8.89,20221231.0,3242,,N,N,N
002070,KR7002070001,비비안,ST,3.0,0,6,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,1287,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,81776,500,19760713,29793,14896995000,12.0,,0,,N,N,Y,1655,40,-91,-97,-13.05,20220930.0,383,,N,N,N
002100,KR7002100006,경농,ST,3.0,0,8,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,10050,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,9905,500,19770630,19522,10845875000,12.0,,0,,N,N,Y,3051,468,403,313,16.98,20220930.0,1962,,N,N,N
002140,KR7002140002,고려산업,ST,3.0,0,5,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,3600,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,348950,1000,19910114,24939,24939425000,12.0,,0,,N,N,Y,1995,32,-41,-43,-5.47,20220930.0,897,,N,N,N
