단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
005710,KR7005710009,대원산업,ST,3.0,0,1009,1030,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6080,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,85480,500,19930621,20037,10018800000,12,,0,,N,N,5084,119,548,402,13,20220930.0,1218,,N,N,N
005860,KR7005860002,한일사료,ST,3.0,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4320,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,387809,500,19941107,39403,19701842500,12,,0,,N,N,4083,-82,-181,-141,-23,20221231.0,1702,,N,N,N
005990,KR7005990007,매일홀딩스,ST,3.0,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,8400,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,2723,500,19990514,13718,6859152000,12,,0,,N,N,14596,555,202,173,4,20220930.0,1152,,N,N,N
006050,KR7006050009,국영지앤엠,ST,3.0,0,1009,1025,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1451,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,52828,500,19941007,34895,17447621500,12,,0,,N,N,550,-67,-63,-49,-10,20211231.0,506,,N,N,N
006140,KR7006140008,피제이전자,ST,3.0,0,1009,1029,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6920,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,217518,500,19931207,15000,7500000000,12,,0,,N,N,1199,68,105,82,7,20211231.0,1038,,N,N,N
006580,KR7006580005,대양제지,ST,3.0,0,1009,1021,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3260,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,19931229,26850,13425000000,12,,0,,N,N,844,-35,5,1,1,20220930.0,875,,N,N,N
006620,KR7006620009,동구바이오제약,ST,3.0,0,1009,1024,,N,N,,N,,,,,N,,,0,,,N,,,,,N,6320,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,198449,500,20180213,28464,14232496000,12,,0,,N,N,1469,146,88,65,9,20220930.0,1798,,N,N,N
006730,KR7006730006,서부T&D,ST,2.0,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,7480,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,202645,500,19951006,60399,30199852500,12,,0,,N,N,960,109,-119,-120,-3,20220930.0,4517,,N,N,N
006910,KR7006910004,보성파워텍,ST,3.0,0,1009,1026,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,Y,N,N,N,3950,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,526760,500,19940907,49129,24564912000,12,,0,,N,N,685,-15,-22,-9,-1,20211231.0,1940,,N,N,N
006920,KR7006920003,모헨즈,ST,3.0,0,1009,1025,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3830,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,27750,500,19890105,10920,5460000000,12,,0,,N,N,651,30,31,27,12,20220930.0,418,,N,N,N
007330,KR7007330004,푸른저축은행,ST,3.0,0,1014,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,10050,1,1,N,N,N,0,N,N,N,0,0,0,60,N,90,121818,1000,19931207,15082,15082800000,12,,0,,N,N,644,261,331,243,8,20211231.0,1515,,N,N,N
007370,KR7007370000,진양제약,ST,3.0,0,1009,1024,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6090,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,17641,500,20000727,12000,6000000000,12,,0,,N,N,763,111,145,123,17,20221231.0,730,,N,N,N
